id_review,timestamp,raw_text,clean_text,rating,emotion,intensity,source,product_id,category,marca,modelo
SHOP_0001,17 ago 2024,Pues mi lap muy buena para la configuración y sí cumplen con todas mis expectativas.,Mi laptop es muy buena para la configuración y sí cumple con todas mis expectativas.,Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0002,28 ene 2024,"La verdad por el precio es un buen producto, la uso para la escuela y la verdad funciona muy bien, venía en su caja, sellada, con sus cables para carga, todo venía super bien, es liviana y se puede llevar fácil en la mochila, recomiendo la compra.","La verdad por el precio es un buen producto. La uso para la escuela y la verdad es que funciona muy bien. Venía en su caja, sellada, con sus cables para carga. Todo venía super bien. Es liviana y se puede llevar fácil en la mochila. La recomiendo.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0003,24 nov 2023,M pareció d buena calidad y es lo q esperaba. Muy ligera ya con esta son dos las q e comprado.,"Me pareció de buena calidad y es lo que esperaba. Muy ligera, ya que con esta soy dos las que he comprado.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0004,06 mar 2024,"Wowow me enamoré del equipo sin duda una gran inversión, es una máquina muy rápida y lo mejor de todoo económica mis amores.","Me enamoré del equipo sin duda, es una gran inversión. Me parece una máquina muy rápida y lo mejor, es que es económica.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0005,18 sept 2024,"Muy buena marca y fácil de configurar.
Me gusto mucho y es portátil, del tiempo que la he ocupado no ha presentado ninguna falla, biene bien protegida con cargador y todo 😉👌.","Muy buena marca y fácil de configurar. Me gusta mucho y es portátil. De la cantidad de tiempo que la he utilizado no ha presentado ninguna falla, viene bien protegida con cargador y todo.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0006,17 abr 2024,"Supero mis espectativas, práctica , ligera, funcional, ideal para trabajos escolares, es veloz, no hacer caso a malos comentarios creo que por el precio es un gran producto. Llevo más de 4 meses y no ha tenido ninguna falla.","Me superó las expectativas, es práctica, ligera y funcional, ideal para trabajos escolares, es veloz. No haga caso a los malos comentarios, creo que por el precio es un gran producto. Llevo más de 4 meses y no ha tenido ninguna falla.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0007,04 ago 2023,Muy buen producto de acuerdo a su precio y todo.,"Muy buen producto, de acuerdo a su precio.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0008,06 oct 2024,"Me pareció un buen producto, muy accesible y de muy buena calidad, específicamente para tareas y trabajos.
Es muy recomendable por el precio.","Me pareció un buen producto, muy accesible y de muy buena calidad, especialmente diseñado para tareas y trabajos.
Es muy recomendable por su precio.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0009,13 jul 2023,Muy buen producto cumplió mis expectativas.,Muy buen producto cumplió mis expectativas.,Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0010,12 nov 2023,Bien. Pero la calidad de imagen no es buena.,La calidad de la imagen no es buena.,Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0011,28 ene 2024,"Bueno, sin embargo hay detalles como la imagen de pantalla, todo lo demás está perfecto, la uso para la uni y me sirve bastante bien.","La imagen de pantalla es un detalle importante, pero en general todo está bien, me sirve para la universidad.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0012,12 mar 2024,Muy buena la recomiendo para la escuela y tienes que comprar microsoft no lo tiene incluído.,"Muy buena, la recomiendo para la escuela. Tienes que comprar Microsoft, ya que no lo incluye.",Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0013,09 jun 2024,Por el precio se me hace buen producto lastima que no tenga para dvd.,"Por el precio se me hace un buen producto, lastima que no tenga capacidad para reproducir DVD.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0014,02 sept 2024,Me parece un buen equipo trabaja rápido y súper excelente lo recomiendo.,"Me parece un buen equipo, trabaja rápido y es excelente, lo recomiendo.",Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0015,03 may 2024,Muy buen equipo solo q después de la actualización solo quedan 78 gb para el almacenamiento.,"Muy buen equipo, solo que después de la actualización solo quedan 78 GB para el almacenamiento.",Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
